"","pupadu","total","Fish","Trt","eid","fishid"
"1",48,153,"green","both","7","1"
"2",11,59,"green","both","7","2"
"3",18,87,"green","both","7","3"
"4",19,65,"green","gs","10","1"
"5",39,45,"green","gs","10","2"
"6",31,41,"green","gs","10","3"
"7",15,71,"green","gs","10","4"
"8",21,59,"green","gs","10","5"
"9",25,75,"green","gs","13","1"
"10",19,64,"green","gs","13","2"
"11",12,37,"green","gs","13","3"
"12",23,62,"green","both","14","1"
"13",10,73,"green","both","14","2"
"14",8,38,"green","both","14","3"
"15",18,84,"green","gs","15","1"
"16",31,66,"green","gs","15","2"
"17",20,81,"green","gs","15","3"
"18",36,62,"green","both","19","1"
"19",14,83,"green","both","19","3"
"20",10,23,"green","gs","20","1"
"21",2,135,"green","gs","20","2"
"22",2,28,"green","gs","20","3"
"23",4,43,"smallmouth","sb","1","1"
"24",2,20,"smallmouth","sb","1","2"
"25",0,35,"smallmouth","sb","1","3"
"26",0,25,"smallmouth","sb","4","1"
"27",2,8,"smallmouth","sb","4","2"
"28",1,1,"smallmouth","sb","4","3"
"29",0,35,"smallmouth","sb","4","4"
"30",0,7,"smallmouth","sb","4","5"
"31",0,5,"smallmouth","both","7","5"
"32",0,11,"smallmouth","both","7","6"
"33",3,163,"smallmouth","sb","11","1"
"34",4,160,"smallmouth","sb","11","2"
"35",0,12,"smallmouth","sb","11","3"
"36",0,51,"smallmouth","both","14","4"
"37",1,105,"smallmouth","both","14","5"
"38",0,91,"smallmouth","both","14","6"
"39",0,67,"smallmouth","sb","16","1"
"40",1,112,"smallmouth","sb","16","2"
"41",0,8,"smallmouth","sb","16","3"
"42",0,34,"smallmouth","both","19","2"
"43",2,46,"smallmouth","both","19","4"
"44",1,38,"smallmouth","both","19","5"
